epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1797.92,0.71679,0.4387,0.9538,0.94144,0.82145,0.9132,0.59555,1.15378,0.74576,1.30184,0.000580174,0.000580174,0.000580174
62,1827.67,0.71039,0.42857,0.95455,0.9239,0.87755,0.90262,0.58482,1.21061,0.74139,1.34633,0.000566027,0.000566027,0.000566027
63,1856.02,0.71535,0.42192,0.94687,0.90013,0.81378,0.87627,0.59467,1.09103,0.865,1.16689,0.00055188,0.00055188,0.00055188
64,1885.82,0.7192,0.43792,0.95709,0.92364,0.8213,0.88319,0.59667,1.13962,0.80236,1.22049,0.000537733,0.000537733,0.000537733
65,1912.58,0.72282,0.42262,0.95329,0.87969,0.86511,0.86572,0.57912,1.21944,0.74768,1.34677,0.000523586,0.000523586,0.000523586
66,1942.15,0.71768,0.42205,0.95155,0.85371,0.87013,0.87292,0.58868,1.18073,0.79,1.26692,0.000509438,0.000509438,0.000509438
67,1969.27,0.71483,0.42125,0.94988,0.88018,0.85607,0.88853,0.59753,1.14179,0.77927,1.23547,0.000495291,0.000495291,0.000495291
68,2000.5,0.70828,0.41563,0.94393,0.8833,0.82963,0.87366,0.59759,1.14997,0.82916,1.26404,0.000481144,0.000481144,0.000481144
69,2027.83,0.69586,0.40902,0.94311,0.90359,0.84993,0.89475,0.61354,1.08671,0.82764,1.21738,0.000466997,0.000466997,0.000466997
70,2058.36,0.70492,0.41745,0.95238,0.87362,0.85355,0.87057,0.60069,1.11775,0.79344,1.23115,0.00045285,0.00045285,0.00045285
71,2084.9,0.67075,0.40379,0.94064,0.88494,0.86725,0.86854,0.61103,1.07845,0.87109,1.19397,0.000438703,0.000438703,0.000438703
72,2116.05,0.68257,0.40123,0.93927,0.91051,0.87066,0.89863,0.65102,1.06222,0.70067,1.1688,0.000424556,0.000424556,0.000424556
73,2143.66,0.68355,0.40768,0.941,0.88977,0.83911,0.86479,0.59496,1.06438,0.7686,1.20665,0.000410409,0.000410409,0.000410409
74,2174.08,0.69354,0.40549,0.93886,0.87725,0.84235,0.87849,0.61901,1.06836,0.78913,1.16095,0.000396262,0.000396262,0.000396262
75,2200.75,0.67037,0.39818,0.92919,0.92879,0.89889,0.89363,0.63039,1.06465,0.67837,1.17609,0.000382115,0.000382115,0.000382115
76,2231.86,0.66729,0.39063,0.92702,0.8471,0.86938,0.88478,0.60121,1.11992,0.80474,1.22387,0.000367967,0.000367967,0.000367967
77,2258.96,0.66737,0.39275,0.93589,0.87914,0.85714,0.88538,0.59619,1.11252,0.76477,1.24956,0.00035382,0.00035382,0.00035382
78,2289.96,0.66109,0.39196,0.93353,0.88309,0.90297,0.90493,0.62305,1.09995,0.75009,1.24078,0.000339673,0.000339673,0.000339673
79,2317.81,0.66277,0.38826,0.93041,0.9424,0.82037,0.89948,0.62345,1.12296,0.7667,1.23826,0.000325526,0.000325526,0.000325526
80,2348.75,0.65913,0.38135,0.92587,0.85202,0.87799,0.90424,0.61325,1.1882,0.76296,1.26753,0.000311379,0.000311379,0.000311379
81,2376.64,0.64904,0.38537,0.93203,0.92996,0.91828,0.91112,0.63802,1.14414,0.78033,1.21997,0.000297232,0.000297232,0.000297232
82,2406.97,0.64567,0.37553,0.92224,0.94204,0.83391,0.90001,0.65705,1.07478,0.74537,1.19459,0.000283085,0.000283085,0.000283085
83,2434.89,0.64641,0.37325,0.92214,0.92039,0.84774,0.89358,0.60775,1.18112,0.76852,1.30725,0.000268938,0.000268938,0.000268938
84,2464.32,0.65946,0.38284,0.93035,0.90334,0.84581,0.89844,0.61587,1.14224,0.7536,1.2783,0.000254791,0.000254791,0.000254791
85,2492.74,0.6287,0.37647,0.92476,0.89245,0.86288,0.90495,0.6235,1.13821,0.76026,1.25483,0.000240644,0.000240644,0.000240644
86,2521.63,0.64469,0.37661,0.92367,0.89613,0.86674,0.89456,0.59741,1.15929,0.77199,1.27464,0.000226497,0.000226497,0.000226497
87,2550.5,0.63847,0.3718,0.92401,0.88753,0.88786,0.90688,0.60379,1.16652,0.74273,1.28454,0.000212349,0.000212349,0.000212349
88,2578.79,0.64054,0.37825,0.92742,0.88968,0.88727,0.89857,0.60168,1.21213,0.78224,1.31856,0.000198202,0.000198202,0.000198202
89,2606.78,0.6272,0.36657,0.91907,0.84836,0.89423,0.88286,0.5759,1.20072,0.79775,1.31945,0.000184055,0.000184055,0.000184055
90,2635.54,0.61733,0.36545,0.91858,0.93906,0.86654,0.89915,0.60942,1.18489,0.76984,1.30795,0.000169908,0.000169908,0.000169908
91,2665.1,0.60086,0.3394,0.89639,0.87184,0.88003,0.88764,0.60563,1.13679,0.7616,1.26557,0.000155761,0.000155761,0.000155761
92,2692.35,0.59429,0.33116,0.89191,0.88467,0.82063,0.89108,0.60074,1.20524,0.83339,1.31243,0.000141614,0.000141614,0.000141614
93,2721.7,0.58946,0.32419,0.88856,0.92495,0.79365,0.89739,0.60726,1.17498,0.84017,1.27735,0.000127467,0.000127467,0.000127467
94,2747.82,0.59196,0.32291,0.89036,0.94403,0.81672,0.89967,0.60297,1.16693,0.81205,1.2867,0.00011332,0.00011332,0.00011332
95,2776.98,0.59499,0.32139,0.89276,0.9357,0.81736,0.89834,0.6051,1.19642,0.82227,1.30932,9.91726e-05,9.91726e-05,9.91726e-05
96,2804.01,0.584,0.32496,0.88623,0.93507,0.80952,0.89152,0.60497,1.18898,0.80018,1.29345,8.50255e-05,8.50255e-05,8.50255e-05
97,2830.94,0.57078,0.31854,0.88573,0.93629,0.81221,0.88947,0.58601,1.1903,0.7929,1.29326,7.08784e-05,7.08784e-05,7.08784e-05
98,2859.96,0.57263,0.31501,0.87881,0.94155,0.80838,0.88525,0.5968,1.15582,0.82508,1.25784,5.67313e-05,5.67313e-05,5.67313e-05
99,2885.29,0.57429,0.31451,0.88434,0.91935,0.80681,0.87858,0.60315,1.13001,0.7859,1.23652,4.25842e-05,4.25842e-05,4.25842e-05
100,2915.58,0.55816,0.30787,0.88017,0.84684,0.87539,0.87972,0.58852,1.15198,0.82067,1.25428,2.84371e-05,2.84371e-05,2.84371e-05
